,Brnd_Name,Gnrc_Name,Tot_Mftr,Mftr_Name,Tot_Spndng_2017,Tot_Dsg_Unts_2017,Tot_Clms_2017,Avg_Spnd_Per_Dsg_Unt_Wghtd_2017,Avg_Spnd_Per_Clm_2017,Outlier_Flag_2017,Tot_Spndng_2018,Tot_Dsg_Unts_2018,Tot_Clms_2018,Avg_Spnd_Per_Dsg_Unt_Wghtd_2018,Avg_Spnd_Per_Clm_2018,Outlier_Flag_2018,Tot_Spndng_2019,Tot_Dsg_Unts_2019,Tot_Clms_2019,Avg_Spnd_Per_Dsg_Unt_Wghtd_2019,Avg_Spnd_Per_Clm_2019,Outlier_Flag_2019,Tot_Spndng_2020,Tot_Dsg_Unts_2020,Tot_Clms_2020,Avg_Spnd_Per_Dsg_Unt_Wghtd_2020,Avg_Spnd_Per_Clm_2020,Outlier_Flag_2020,Tot_Spndng_2021,Tot_Dsg_Unts_2021,Tot_Clms_2021,Avg_Spnd_Per_Dsg_Unt_Wghtd_2021,Avg_Spnd_Per_Clm_2021,Outlier_Flag_2021
15,Abacavir,Abacavir Sulfate,1,Rising Pharm,0.0,,,,,,98501.16,"203,422",387,$0.48,$254.52,0.0,216513.65,"$426,251.00",863,$0.51,$250.88,0.0,197801.95,"411,857",836,$0.48,$236.61,0.0,200516.7,"413,008",867,$0.49,$231.28,0
16,Abacavir,Abacavir Sulfate,1,Aurobindo Pharm,1914746.03,"512,186","8,854",$3.74,$216.26,0.0,785394.73,"336,600","5,899",$2.33,$133.14,0.0,548789.8,"$221,010.00","3,939",$2.48,$139.32,0.0,340332.87,"161,731","2,817",$2.10,$120.81,0.0,302463.08,"143,998","2,531",$2.10,$119.50,0
17,Abacavir,Abacavir Sulfate,1,Camber Pharmace,1389264.75,"516,468","6,468",$3.47,$214.79,0.0,966292.71,"867,205","5,685",$2.12,$169.97,0.0,937781.5,"$677,430.00","6,000",$2.20,$156.30,0.0,764858.61,"582,185.294","5,699",$1.87,$134.21,0.0,611412.71,"525,051","4,652",$1.77,$131.43,0
18,Abacavir,Abacavir Sulfate,1,Apotex Corp,1088113.37,"303,125","5,273",$3.59,$206.36,0.0,807521.34,"309,459","5,433",$2.61,$148.63,0.0,124795.85,"$43,155.00",768,$2.89,$162.49,0.0,19869.38,"7,936",166,$2.50,$119.70,1.0,1921.98,"1,380",19,$1.39,$101.16,1
19,Abacavir-Lamivudine,Abacavir Sulfate/Lamivudine,6,Overall,26780311.83,"1,389,157","46,517",$19.28,$575.71,0.0,7482845.84,"1,031,596","34,469",$7.25,$217.09,0.0,4694926.11,"$726,343.00","24,316",$6.46,$193.08,0.0,3189618.11,"529,789","17,279",$6.02,$184.60,0.0,2336623.6,"429,946","13,605",$5.43,$171.75,0
20,Abacavir-Lamivudine,Abacavir Sulfate/Lamivudine,1,Aurobindo Pharm,1425487.32,"130,486","4,325",$10.92,$329.59,0.0,1491375.43,"193,855","6,385",$7.69,$233.57,0.0,811847.47,"$128,854.00","4,243",$6.30,$191.34,0.0,525567.16,"95,979","3,070",$5.48,$171.19,0.0,809629.67,"140,293","4,320",$5.77,$187.41,0
21,Abacavir-Lamivudine,Abacavir Sulfate/Lamivudine,1,Burel Pharmaceu,0.0,,,,,,0.0,,,,,,695711.21,"$90,087.00","2,989",$7.72,$232.76,0.0,434910.92,"57,128","1,821",$7.61,$238.83,0.0,78970.21,"11,778",380,$6.70,$207.82,1
22,Abacavir-Lamivudine,Abacavir Sulfate/Lamivudine,1,Lupin Pharmaceu,2825097.74,"220,451","7,439",$12.82,$379.77,0.0,1578870.64,"235,004","7,922",$6.72,$199.30,0.0,973127.25,"$148,647.00","5,075",$6.55,$191.75,0.0,863498.88,"138,877","4,719",$6.22,$182.98,0.0,467645.27,"87,231","2,906",$5.36,$160.92,0
23,Abacavir-Lamivudine,Abacavir Sulfate/Lamivudine,1,"Cipla USA, Inc.",1691277.66,"157,979","5,291",$10.71,$319.65,0.0,1862350.35,"289,579","9,740",$6.43,$191.21,0.0,1312897.33,"$221,883.00","7,426",$5.92,$176.80,0.0,510875.65,"86,945","2,855",$5.88,$178.94,0.0,885546.47,"171,894","5,436",$5.15,$162.90,0
24,Abacavir-Lamivudine,Abacavir Sulfate/Lamivudine,1,Prasco Labs,9952765.78,"434,787","14,573",$22.89,$682.96,0.0,1677514.12,"203,017","6,774",$8.26,$247.64,1.0,304120.58,"$39,018.00","1,309",$7.79,$232.33,0.0,56837.14,"11,401",371,$4.99,$153.20,0.0,4141.83,"1,020",34,$4.06,$121.82,1
25,Abacavir-Lamivudine,Abacavir Sulfate/Lamivudine,1,Teva USA,10885683.33,"445,454","14,889",$24.44,$731.12,0.0,872735.3,"110,141","3,648",$7.92,$239.24,0.0,597222.27,"$97,854.00","3,274",$6.10,$182.41,0.0,797928.36,"139,459","4,443",$5.72,$179.59,0.0,90690.15,"17,730",529,$5.12,$171.44,0
26,Abacavir-Lamivudine-Zidovudine,Abacavir/Lamivudine/Zidovudine,1,Overall,3931094.77,"185,406","3,166",$21.20,"$1,241.66",0.0,2087894.39,"114,921","1,978",$18.17,"$1,055.56",1.0,1341119.86,"$62,794.00","1,110",$21.36,"$1,208.22",0.0,585417.74,"28,286",511,$20.70,"$1,145.63",0.0,47920.55,"2,310",39,$20.74,"$1,228.73",1
27,Abacavir-Lamivudine-Zidovudine,Abacavir/Lamivudine/Zidovudine,1,Lupin Pharmaceu,3931094.77,"185,406","3,166",$21.20,"$1,241.66",0.0,2087894.39,"114,921","1,978",$18.17,"$1,055.56",1.0,1341119.86,"$62,794.00","1,110",$21.36,"$1,208.22",0.0,585417.74,"28,286",511,$20.70,"$1,145.63",0.0,47920.55,"2,310",39,$20.74,"$1,228.73",1
28,Abelcet,Amphotericin B Lipid Complex,1,Overall,510494.6,"59,475",570,$8.58,$895.60,0.0,419811.06,"59,524",485,$7.05,$865.59,0.0,229060.37,"$49,937.00",444,$4.59,$515.90,0.0,150432.96,"30,817",277,$4.88,$543.08,0.0,230629.61,"42,399.7",636,$5.44,$362.63,0
29,Abelcet,Amphotericin B Lipid Complex,1,Leadiant Biosci,510494.6,"59,475",570,$8.58,$895.60,0.0,419811.06,"59,524",485,$7.05,$865.59,0.0,229060.37,"$49,937.00",444,$4.59,$515.90,0.0,150432.96,"30,817",277,$4.88,$543.08,0.0,230629.61,"42,399.7",636,$5.44,$362.63,0
30,Abilify Maintena,Aripiprazole,1,Overall,269177503.12,"148,844.819","147,897","$1,807.46","$1,820.03",0.0,361424284.39,"188,818.408","188,799","$1,915.18","$1,914.33",0.0,462603163.34,"$223,858.71","223,164","$2,072.57","$2,072.93",0.0,525941505.7,"251,438.616","252,133","$2,092.12","$2,085.97",0.0,591172986.98,"270,416.031","271,966","$2,186.68","$2,173.70",0
31,Abilify Maintena,Aripiprazole,1,Otsuka America,269177503.12,"148,844.819","147,897","$1,807.46","$1,820.03",0.0,361424284.39,"188,818.408","188,799","$1,915.18","$1,914.33",0.0,462603163.34,"$223,858.71","223,164","$2,072.57","$2,072.93",0.0,525941505.7,"251,438.616","252,133","$2,092.12","$2,085.97",0.0,591172986.98,"270,416.031","271,966","$2,186.68","$2,173.70",0
32,Abilify Mycite,Aripiprazole,1,Overall,0.0,,,,,,0.0,,,,,,22893.15,$420.00,14,$54.51,"$1,635.23",1.0,122978.17,"2,250",74,$54.66,"$1,661.87",1.0,69821.75,"1,290",43,$54.13,"$1,623.76",1
33,Abilify Mycite,Aripiprazole,1,Otsuka America,0.0,,,,,,0.0,,,,,,22893.15,$420.00,14,$54.51,"$1,635.23",1.0,122978.17,"2,250",74,$54.66,"$1,661.87",1.0,69821.75,"1,290",43,$54.13,"$1,623.76",1
34,Abilify*,Aripiprazole,1,Overall,581778077.68,"18,602,730.597","579,380",$31.38,"$1,004.14",0.0,454568519.15,"14,502,073.292","438,971",$31.47,"$1,035.53",0.0,221815190.29,"$7,793,675.22","232,784",$28.59,$952.88,1.0,19481045.31,"819,891.071","22,659",$23.87,$859.75,0.0,13801647.34,"558,950.487","15,247",$24.87,$905.20,0
35,Abilify*,Aripiprazole,1,Otsuka America*,581778077.68,"18,602,730.597","579,380",$31.38,"$1,004.14",0.0,454568519.15,"14,502,073.292","438,971",$31.47,"$1,035.53",0.0,221815190.29,"$7,793,675.22","232,784",$28.59,$952.88,1.0,19481045.31,"819,891.071","22,659",$23.87,$859.75,0.0,13801647.34,"558,950.487","15,247",$24.87,$905.20,0
36,Abiraterone Acetate,Abiraterone Acetate,12,Overall,0.0,,,,,,1295594.93,"22,362",202,$57.94,"$6,413.84",1.0,28087006.89,"$689,855.00","6,392",$40.71,"$4,394.09",0.0,23282853.46,"900,344","8,371",$26.07,"$2,781.37",0.0,36425753.17,"1,176,568.12","11,885",$38.47,"$3,064.85",0
37,Abiraterone Acetate,Abiraterone Acetate,1,Mylan,0.0,,,,,,412644.72,"8,836",80,$46.70,"$5,158.06",1.0,6267751.49,"$177,206.00","1,656",$35.37,"$3,784.87",0.0,2648190.38,"81,184",772,$33.65,"$3,430.30",0.0,9835389.75,"104,020","1,596",$103.73,"$6,162.52",0
38,Abiraterone Acetate,Abiraterone Acetate,1,Bluepoint/Oncop,0.0,,,,,,0.0,,,,,,0.0,,,,,,0.0,,,,,,569935.23,"12,960",110,$43.98,"$5,181.23",1
39,Abiraterone Acetate,Abiraterone Acetate,1,Northstar Rx Ll,0.0,,,,,,0.0,,,,,,0.0,,,,,,0.0,,,,,,844909.98,"55,632",497,$15.19,"$1,700.02",1
40,Abiraterone Acetate,Abiraterone Acetate,1,Patriot Pharmac,0.0,,,,,,325659.39,"4,706",43,$69.20,"$7,573.47",1.0,9853844.46,"$227,506.00","2,203",$43.31,"$4,472.92",0.0,4145420.45,"129,531","1,337",$32.00,"$3,100.54",0.0,145428.68,"6,150",52,$23.65,"$2,796.71",1
41,Abiraterone Acetate,Abiraterone Acetate,1,Amneal Pharmace,0.0,,,,,,0.0,,,,,,942961.73,"$23,290.00",205,$40.49,"$4,599.81",1.0,1056344.37,"74,287",684,$14.22,"$1,544.36",1.0,5900210.56,"136,451.12","1,587",$58.15,"$3,717.84",0
42,Abiraterone Acetate,Abiraterone Acetate,1,Dr.Reddy'S Lab,0.0,,,,,,0.0,,,,,,0.0,,,,,,58909.63,"1,650",16,$35.70,"$3,681.85",1.0,101046.82,"3,026",29,$33.39,"$3,484.37",1
43,Abiraterone Acetate,Abiraterone Acetate,1,Wockhardt USA L,0.0,,,,,,0.0,,,,,,228139.71,"$10,920.00",96,$20.89,"$2,376.46",0.0,924509.55,"36,142",320,$25.58,"$2,889.09",0.0,98117.87,"11,902",108,$8.24,$908.50,1
44,Abiraterone Acetate,Abiraterone Acetate,1,West-Ward/Hikma,0.0,,,,,,0.0,,,,,,100108.13,"$10,470.00",91,$9.56,"$1,100.09",1.0,29541.69,"20,412",186,$1.45,$158.83,1.0,20430.94,"28,933",280,$0.71,$72.97,1
45,Abiraterone Acetate,Abiraterone Acetate,1,Apotex Corp,0.0,,,,,,557290.82,"8,820",79,$63.18,"$7,054.31",1.0,10209427.35,"$220,795.00","1,959",$46.24,"$5,211.55",0.0,4497955.75,"151,014","1,346",$29.79,"$3,341.72",0.0,2169482.92,"89,923",908,$31.80,"$2,389.30",1
46,Abiraterone Acetate,Abiraterone Acetate,1,Rising Pharm,0.0,,,,,,0.0,,,,,,0.0,,,,,,1121802.34,"52,324",469,$21.44,"$2,391.90",0.0,604794.76,"39,950",358,$15.14,"$1,689.37",0
47,Abiraterone Acetate,Abiraterone Acetate,1,Novadoz Pharmac,0.0,,,,,,0.0,,,,,,484774.02,"$19,668.00",182,$24.65,"$2,663.59",0.0,8741638.8,"334,522","3,062",$26.13,"$2,854.88",0.0,15916666.69,"601,551","5,571",$26.46,"$2,857.06",0
48,Abiraterone Acetate,Abiraterone Acetate,1,"Celltrion USA,",0.0,,,,,,0.0,,,,,,0.0,,,,,,58540.5,"19,278",179,$3.04,$327.04,0.0,219338.97,"86,070",789,$2.55,$278.00,0
49,Abraxane,Paclitaxel Protein-Bound,1,Overall,57530098.25,"48,753.071","27,231","$1,180.03","$2,112.67",1.0,53837746.76,"42,564.305","25,755","$1,264.86","$2,090.38",0.0,63796502.78,"$54,139.77","30,184","$1,178.37","$2,113.59",0.0,67420382.22,"55,247.678","31,817","$1,220.33","$2,119.01",0.0,67187329.2,"65,503.592","30,746","$1,025.70","$2,185.24",1
50,Abraxane,Paclitaxel Protein-Bound,1,Celgene/BMS,57530098.25,"48,753.071","27,231","$1,180.03","$2,112.67",1.0,53837746.76,"42,564.305","25,755","$1,264.86","$2,090.38",0.0,63796502.78,"$54,139.77","30,184","$1,178.37","$2,113.59",0.0,67420382.22,"55,247.678","31,817","$1,220.33","$2,119.01",0.0,67187329.2,"65,503.592","30,746","$1,025.70","$2,185.24",1
51,Absorica,Isotretinoin,1,Overall,9878293.8,"309,905","5,995",$31.81,"$1,647.76",0.0,8868026.2,"271,848","5,258",$32.57,"$1,686.58",0.0,7626371.93,"$212,926.00","4,137",$35.78,"$1,843.45",0.0,8069988.61,"225,520","4,249",$35.73,"$1,899.27",0.0,4136652.84,"114,278","2,174",$36.13,"$1,902.78",0
52,Absorica,Isotretinoin,1,Sun Pharmaceuti,9878293.8,"309,905","5,995",$31.81,"$1,647.76",0.0,8868026.2,"271,848","5,258",$32.57,"$1,686.58",0.0,7626371.93,"$212,926.00","4,137",$35.78,"$1,843.45",0.0,8069988.61,"225,520","4,249",$35.73,"$1,899.27",0.0,4136652.84,"114,278","2,174",$36.13,"$1,902.78",0
53,Absorica Ld,"Isotretinoin, Micronized",1,Overall,0.0,,,,,,0.0,,,,,,0.0,,,,,,987011.22,"26,100",566,$37.80,"$1,743.84",0.0,3042402.57,"77,940","1,623",$39.03,"$1,874.55",0
54,Absorica Ld,"Isotretinoin, Micronized",1,Sun Pharmaceuti,0.0,,,,,,0.0,,,,,,0.0,,,,,,987011.22,"26,100",566,$37.80,"$1,743.84",0.0,3042402.57,"77,940","1,623",$39.03,"$1,874.55",0
55,Acamprosate Calcium,Acamprosate Calcium,5,Overall,5855895.53,"6,310,836","43,539",$0.93,$134.50,0.0,5092736.42,"6,834,678","47,226",$0.75,$107.84,0.0,6319904.86,"$8,250,999.00","57,312",$0.77,$110.27,0.0,7991184.29,"10,872,934","74,358",$0.73,$107.47,0.0,9927618.91,"13,268,177","89,681",$0.75,$110.70,0
56,Acamprosate Calcium,Acamprosate Calcium,1,Zydus Pharmaceu,478669.09,"522,187","3,460",$0.92,$138.34,0.0,1592971.44,"2,146,854","14,624",$0.74,$108.93,0.0,2127307.09,"$2,741,609.00","18,939",$0.78,$112.32,0.0,2070150.12,"2,689,522","18,169",$0.77,$113.94,0.0,2574271.65,"3,358,215","22,271",$0.77,$115.59,0
57,Acamprosate Calcium,Acamprosate Calcium,1,Glenmark Pharma,3540444.17,"3,800,723","26,304",$0.93,$134.60,0.0,2975720.75,"3,973,039","27,629",$0.75,$107.70,0.0,3966481.54,"$5,210,775.00","36,384",$0.76,$109.02,0.0,5118983.17,"7,019,021","48,471",$0.73,$105.61,0.0,6356249.35,"8,521,387","57,967",$0.75,$109.65,0
58,Acamprosate Calcium,Acamprosate Calcium,1,Teva USA,767140.92,"775,169","5,289",$0.99,$145.04,0.0,64933.77,"89,831",689,$0.72,$94.24,0.0,52367.01,"$66,379.00",455,$0.79,$115.09,0.0,23582.65,"33,291",223,$0.71,$105.75,0.0,26731.12,"39,215",272,$0.68,$98.28,0
59,Acamprosate Calcium,Acamprosate Calcium,1,Mylan,1065777.22,"1,208,449","8,448",$0.88,$126.16,0.0,456748.87,"622,101","4,249",$0.73,$107.50,0.0,171906.63,"$229,507.00","1,507",$0.75,$114.07,0.0,775947.36,"1,127,699","7,448",$0.69,$104.18,0.0,952623.67,"1,327,449","8,976",$0.72,$106.13,0
60,Acamprosate Calcium,Acamprosate Calcium,1,Ahp,3864.13,"4,308",38,$0.90,$101.69,1.0,2361.59,"2,853",35,$0.83,$67.47,1.0,1842.59,"$2,729.00",27,$0.68,$68.24,1.0,2520.99,"3,401",47,$0.74,$53.64,1.0,17743.12,"21,911",195,$0.81,$90.99,0
61,Acanya,Clindamycin Phos/Benzoyl Perox,1,Overall,933189.05,"99,375","1,990",$9.39,$468.94,0.0,392760.62,"41,050",819,$9.57,$479.56,0.0,135000.4,"$13,650.00",272,$9.89,$496.33,0.0,141051.08,"14,050",281,$10.04,$501.96,1.0,247894.99,"24,145",480,$10.27,$516.45,1
62,Acanya,Clindamycin Phos/Benzoyl Perox,1,Bausch Health U,933189.05,"99,375","1,990",$9.39,$468.94,0.0,392760.62,"41,050",819,$9.57,$479.56,0.0,135000.4,"$13,650.00",272,$9.89,$496.33,0.0,141051.08,"14,050",281,$10.04,$501.96,1.0,247894.99,"24,145",480,$10.27,$516.45,1
63,Acarbose,Acarbose,5,Overall,1991715.19,"5,455,810.25","60,786",$0.37,$32.77,0.0,1517674.15,"5,604,599","61,284",$0.27,$24.76,0.0,1666544.89,"$5,710,695.20","61,198",$0.29,$27.23,0.0,1463664.92,"5,855,931","59,590",$0.25,$24.56,0.0,1594135.69,"6,142,217.18","60,275",$0.26,$26.45,0
64,Acarbose,Acarbose,1,Alvogen Inc,386703.2,"1,102,088","12,173",$0.35,$31.77,0.0,223696.23,"987,997","11,086",$0.23,$20.18,0.0,147765.68,"$545,312.00","6,124",$0.27,$24.13,0.0,28786.69,"142,048","1,659",$0.20,$17.35,0.0,5718.75,"27,450",305,$0.21,$18.75,1
65,Acarbose,Acarbose,1,Roxane/West-War,190559.52,"523,774.5","6,283",$0.36,$30.33,0.0,72477.21,"360,940","4,220",$0.20,$17.17,0.0,411081.32,"$1,381,071.00","14,979",$0.30,$27.44,0.0,627312.21,"2,512,738.5","25,897",$0.25,$24.22,0.0,749218.68,"2,888,999","28,886",$0.26,$25.94,0
66,Acarbose,Acarbose,1,Virtus Pharmace,915082.9,"2,471,251","27,195",$0.37,$33.65,0.0,751987.49,"2,562,332","27,377",$0.29,$27.47,0.0,307270.88,"$1,040,013.00","10,703",$0.30,$28.71,0.0,242584.5,"949,953","8,929",$0.25,$27.17,0.0,226878.19,"845,135","7,947",$0.27,$28.55,0
67,Acarbose,Acarbose,1,Strides Pharma,484266.38,"1,318,008.75","14,654",$0.37,$33.05,0.0,464115.03,"1,672,295","18,359",$0.28,$25.28,0.0,797755.63,"$2,733,253.20","29,253",$0.29,$27.27,0.0,563405.94,"2,244,801.5","23,029",$0.25,$24.47,0.0,606424.1,"2,357,064.18","22,893",$0.26,$26.49,0
68,Acarbose,Acarbose,1,Avet Pharmaceut,15103.19,"40,688",481,$0.37,$31.40,0.0,5398.19,"21,035",242,$0.26,$22.31,1.0,2671.38,"$11,046.00",139,$0.24,$19.22,1.0,1575.58,"6,390",76,$0.25,$20.73,1.0,5895.97,"23,569",244,$0.25,$24.16,0
69,Accolate,Zafirlukast,1,Overall,80400.44,"21,568",366,$3.73,$219.67,0.0,27566.37,"8,343",137,$3.30,$201.21,0.0,21968.33,"$6,365.00",96,$3.45,$228.84,0.0,14911.63,"4,266",65,$3.50,$229.41,1.0,9536.15,"2,744",45,$3.48,$211.91,1
70,Accolate,Zafirlukast,1,Par Pharmaceuti,80400.44,"21,568",366,$3.73,$219.67,0.0,27566.37,"8,343",137,$3.30,$201.21,0.0,21968.33,"$6,365.00",96,$3.45,$228.84,0.0,14911.63,"4,266",65,$3.50,$229.41,1.0,9536.15,"2,744",45,$3.48,$211.91,1
71,Accrufer,Ferric Maltol,1,Overall,0.0,,,,,,0.0,,,,,,0.0,,,,,,0.0,,,,,,6373.54,780,15,$8.17,$424.90,1
72,Accrufer,Ferric Maltol,1,Shield Therapeu,0.0,,,,,,0.0,,,,,,0.0,,,,,,0.0,,,,,,6373.54,780,15,$8.17,$424.90,1
73,Accupril,Quinapril HCl,1,Overall,17457.06,"4,097",111,$4.22,$157.27,1.0,14942.02,"3,700",104,$3.97,$143.67,1.0,13068.04,"$2,790.00",72,$4.69,$181.50,1.0,9871.06,"2,191",62,$4.61,$159.21,1.0,7623.52,"1,605",46,$4.82,$165.73,1
74,Accupril,Quinapril HCl,1,Pfizer US Pharm,17457.06,"4,097",111,$4.22,$157.27,1.0,14942.02,"3,700",104,$3.97,$143.67,1.0,13068.04,"$2,790.00",72,$4.69,$181.50,1.0,9871.06,"2,191",62,$4.61,$159.21,1.0,7623.52,"1,605",46,$4.82,$165.73,1
75,Accutane,Isotretinoin,1,Overall,0.0,,,,,,0.0,,,,,,0.0,,,,,,0.0,,,,,,57397.88,"13,650",297,$4.17,$193.26,1
76,Accutane,Isotretinoin,1,"Jg Pharma, Inc.",0.0,,,,,,0.0,,,,,,0.0,,,,,,0.0,,,,,,57397.88,"13,650",297,$4.17,$193.26,1
77,Acebutolol HCl,Acebutolol HCl,2,Overall,128814.83,"436,723","7,854",$0.30,$16.40,0.0,120617.97,"404,599","7,377",$0.30,$16.35,0.0,158686.85,"$375,072.50","6,710",$0.42,$23.65,0.0,242146.72,"431,453.4","6,814",$0.56,$35.54,0.0,266417.74,"452,586.8","6,319",$0.59,$42.16,0
78,Acebutolol HCl,Acebutolol HCl,1,Amneal Pharmace,67482.2,"226,067","4,181",$0.30,$16.14,0.0,62195.05,"207,375","3,844",$0.30,$16.18,0.0,145468.38,"$344,338.50","6,121",$0.42,$23.77,0.0,230191.45,"413,095.4","6,499",$0.56,$35.42,0.0,262769.33,"446,731.8","6,223",$0.59,$42.23,0
79,Acebutolol HCl,Acebutolol HCl,1,Mylan,61332.63,"210,656","3,673",$0.29,$16.70,0.0,58422.92,"197,224","3,533",$0.30,$16.54,0.0,13218.47,"$30,734.00",589,$0.43,$22.44,0.0,11955.27,"18,358",315,$0.65,$37.95,0.0,3648.41,"5,855",96,$0.64,$38.00,0
80,Acephen,Acetaminophen,1,Overall,3574.29,"2,249.141",155,$1.84,$23.06,1.0,2278.75,671.345,152,$9.22,$14.99,1.0,266.55,$83.93,53,$3.16,$5.03,1.0,31.63,21.552,18,$1.54,$1.76,1.0,22.29,23.5,19,$1.09,$1.17,1
